portfolio_value,return,reward,turnover,weight_btc,weight_eth,weight_ltc,weight_bnb,weight_usdt,dsr,cumulative_dsr
9328.007029947405,-0.00450023849221842,-0.004284589292385284,0.5999999970653014,0.19999998646735356,9.99999706604097e-09,9.99999706604097e-09,0.6000000070652988,0.19999998646735356,-0.004284589292385284,0.037414855490220056
9113.063246540438,-0.023042841060999696,-0.020248922964036166,0.5999999973741416,0.3999999969207461,9.999997050598981e-09,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,-0.020248922964036166,0.01716593252618389
9174.113917532488,0.006699248028946497,0.006862713537310016,0.5999999973741416,9.99999706604097e-09,9.99999706604097e-09,0.19999998646735356,0.6000000070652988,0.19999998646735356,0.006862713537310016,0.024028646063493905
9156.543252265083,-0.00191524385083399,-0.001647288658720611,0.5999999970653014,0.4000000107622328,0.19999999307925662,0.19999999307925662,9.99999739663605e-09,0.19999999307925662,-0.001647288658720611,0.022381357404773296
9195.82319525929,0.004289822251917035,0.0043688367486245955,0.5999999904533984,9.99999706604097e-09,0.6000000070652988,0.19999998646735356,0.19999998646735356,9.99999706604097e-09,0.0043688367486245955,0.02675019415339789
9400.968821620132,0.02230856574826261,0.024182467594059596,0.5999999973741416,9.999997050598981e-09,9.999997050598981e-09,0.19999998615851372,0.3999999969207461,0.3999999969207461,0.024182467594059596,0.05093266174745749
9400.90175984245,-7.133496446297149e-06,8.604449919579517e-05,0.39999998692074906,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,0.3999999969207461,9.999997050598981e-09,8.604449919579517e-05,0.051018706246653285
9436.814556009092,0.003820143756852041,0.003639433984500115,0.2000000107622324,0.19999998615851372,9.999997050598981e-09,0.3999999969207461,0.3999999969207461,9.999997050598981e-09,0.003639433984500115,0.0546581402311534
9451.479596995097,0.0015540244961862874,0.0015158226460753367,0.0,0.19999998615851372,9.999997050598981e-09,0.3999999969207461,0.3999999969207461,9.999997050598981e-09,0.0015158226460753367,0.05617396287722874
9494.543304487117,0.004556292700003347,0.004324544894644073,0.3999999869207491,0.3999999969207461,9.999997050598981e-09,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,0.004324544894644073,0.060498507771872816
9424.960226996525,-0.00732874402265423,-0.006548453523746704,0.0,0.3999999969207461,9.999997050598981e-09,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,-0.006548453523746704,0.053950054248126114
9355.978104555525,-0.007319088970095616,-0.006484869940749952,0.5999999976829815,9.999997050598981e-09,9.999997050598981e-09,0.19999998615851372,0.3999999969207461,0.3999999969207461,-0.006484869940749952,0.04746518430737616
9377.03312153189,0.002250434614218781,0.002182826601070432,0.39999998692074906,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,0.3999999969207461,9.999997050598981e-09,0.002182826601070432,0.04964801090844659
9300.60463857601,-0.008150603924004638,-0.007181134639187246,0.39999998692074906,0.3999999969207461,0.19999998615851372,0.3999999969207461,9.999997050598981e-09,9.999997050598981e-09,-0.007181134639187246,0.042466876269259345
9226.546144627055,-0.007962761221112715,-0.006947403235828746,0.39999998692074906,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,0.3999999969207461,9.999997050598981e-09,-0.006947403235828746,0.0355194730334306
9302.50961099966,0.008233142194475391,0.007963375074248418,0.5999999838414953,0.19999999307925662,0.4000000107622328,9.99999739663605e-09,0.19999999307925662,0.19999999307925662,0.007963375074248418,0.04348284810767902
9409.22397355859,0.0114715670309813,0.0110509327792386,0.5999999970653014,9.99999706604097e-09,0.19999998646735356,0.6000000070652988,0.19999998646735356,9.99999706604097e-09,0.0110509327792386,0.05453378088691763
9443.456753214108,0.0036382149847552013,0.0034043096184160184,0.5999999904533984,0.4000000107622328,0.19999999307925662,0.19999999307925662,9.99999739663605e-09,0.19999999307925662,0.0034043096184160184,0.05793809050533365
9408.322360786035,-0.0037205012260066255,-0.0032536080731884517,0.20000000384148947,0.3999999969207461,9.999997050598981e-09,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,-0.0032536080731884517,0.054684482432145194
9678.787564290584,0.028747442225390742,0.028358933348071397,0.5999999630792657,9.999997050598981e-09,0.3999999969207461,0.3999999969207461,0.19999998615851372,9.999997050598981e-09,0.028358933348071397,0.0830434157802166
9745.597720474223,0.006902740218220254,0.005909220588990458,0.5999999630792657,0.3999999969207461,9.999997050598981e-09,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,0.005909220588990458,0.08895263636920706
9785.854794440223,0.004130795782943715,0.00351183581257984,0.0,0.3999999969207461,9.999997050598981e-09,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,0.00351183581257984,0.0924644721817869
9842.274397640598,0.005765424113224116,0.004890320206921922,0.5999999976829815,9.999997050598981e-09,9.999997050598981e-09,0.19999998615851372,0.3999999969207461,0.3999999969207461,0.004890320206921922,0.09735479238870882
9777.228035663751,-0.006608875077943432,-0.005665132487554212,0.5999999976829815,0.3999999969207461,9.999997050598981e-09,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,-0.005665132487554212,0.09168965990115462
9715.062429618565,-0.0063582035540573015,-0.005415372842804741,0.20000000384148947,0.19999999307925662,9.99999739663605e-09,0.4000000107622328,0.19999999307925662,0.19999999307925662,-0.005415372842804741,0.08627428705834987
9715.136974376344,7.673111554273325e-06,1.5167595144757675e-05,0.4000000139860421,9.99999706604097e-09,9.99999706604097e-09,0.19999998646735356,0.19999998646735356,0.6000000070652988,1.5167595144757675e-05,0.08628945465349463
9706.890406824097,-0.0008488369823294343,-0.0007142775421842708,0.19999997669675473,9.999997054571063e-09,9.999997054571063e-09,9.999997054571063e-09,0.19999998623795537,0.7999999837620535,-0.0007142775421842708,0.08557517711131037
9725.679542070695,0.0019356492614141484,0.001664450606147393,0.19999999745898472,9.999996720003926e-09,9.999996720003926e-09,9.999996720003926e-09,0.39999998369694006,0.5999999863030697,0.001664450606147393,0.08723962771745776
9751.005953081669,0.0026040762397545984,0.0022361041090553087,0.7999999669207558,0.4000000107622328,0.19999999307925662,0.19999999307925662,9.99999739663605e-09,0.19999999307925662,0.0022361041090553087,0.08947573182651307
9747.727107555367,-0.0003362571556286979,-0.00028772329410562124,0.7999999669207558,9.999996720003926e-09,9.999996720003926e-09,9.999996720003926e-09,0.39999998369694006,0.5999999863030697,-0.00028772329410562124,0.08918800853240745
9741.560553427764,-0.0006326145633297076,-0.0005424830630775667,0.40000000014455606,9.999997050598981e-09,0.3999999969207461,9.999997050598981e-09,0.3999999969207461,0.19999998615851372,-0.0005424830630775667,0.08864552546932988
9746.639686282495,0.0005213880083045551,0.0004520710238621815,0.5999999907622382,0.4000000107622328,0.19999999307925662,0.19999999307925662,9.99999739663605e-09,0.19999999307925662,0.0004520710238621815,0.08909759649319207
9743.969373117767,-0.0002739726973272741,-0.00023512229434282202,0.7999999669207549,9.999997054571063e-09,9.999997054571063e-09,9.999997054571063e-09,0.19999998623795537,0.7999999837620535,-0.00023512229434282202,0.08886247419884925
9764.791938543714,0.0021369695068410664,0.0018533415382576508,0.7999999737620561,0.19999999307925662,0.19999999307925662,0.19999999307925662,0.4000000107622328,9.99999739663605e-09,0.0018533415382576508,0.09071581573710691
9725.944402465788,-0.0039783270675319785,-0.003456843220429713,0.4000000007622354,0.4000000107622328,0.19999999307925662,0.19999999307925662,9.99999739663605e-09,0.19999999307925662,-0.003456843220429713,0.08725897251667719
9727.338782515855,0.00014336705952318544,0.00013078527559418505,0.4000000007622354,0.19999999307925662,0.19999999307925662,0.19999999307925662,0.4000000107622328,9.99999739663605e-09,0.00013078527559418505,0.08738975779227137
9726.03426344838,-0.00013410852614894911,-0.00011100117172392148,0.5999999838414953,0.3999999969207461,9.999997050598981e-09,0.3999999969207461,9.999997050598981e-09,0.19999998615851372,-0.00011100117172392148,0.08727875662054745
