timestep,MFN-A2C + DSR,MFN-A2C + PV,A2C + DSR,A2C + PV
100,9916.351413729708,10052.093915450723,9926.768366065868,9949.208313892785
101,9876.413670537026,10030.161777413114,9886.26361201913,9911.582094187635
102,9794.20146567764,9950.923719348124,9802.80635116776,9833.498924024756
103,9810.839714285736,9986.02335405787,9818.2987487213,9849.930601170809
104,9839.961054339428,9980.007996223812,9850.322004833137,9883.694925713246
105,9853.433038523484,9979.67897680555,9864.101447426056,9898.80225283092
106,9865.578863369436,9982.678854016567,9876.76914079364,9911.63345380702
107,9851.873602689397,9961.980972369083,9862.81048514849,9894.028466002665
108,9809.119967408944,9906.60312201768,9817.956934884976,9851.599343326288
109,9914.213759453003,10010.969856809535,9920.145206205916,9954.28419891073
110,9911.738781784765,10001.127281684989,9917.629392487095,9951.422893906964
111,9748.177011618076,9802.817584443295,9772.781189084892,9786.042167934942
112,9692.685374661783,9725.869911888649,9719.76588054904,9729.710805203147
113,9714.005480476828,9746.919717112583,9742.11838777594,9751.139714726414
114,9808.725100886675,9865.441761413202,9833.483571266295,9846.670768210492
115,9837.065782306576,9917.327292920429,9862.411835279272,9872.461300057756
116,9797.50487629383,9871.947728701003,9822.126016350809,9833.969713081551
117,9791.909684705435,9871.705825094328,9817.124469490958,9826.673393526991
118,9787.168920025308,9878.008200317305,9803.301164981804,9822.990496535544
119,9786.600799320824,9864.2023312219,9804.553846823635,9823.541399432384
120,9754.27957236307,9826.327234245162,9772.016739700166,9787.77490932531
121,9529.313198001752,9554.833473129043,9529.365987949735,9552.724473903854
122,9534.380716016778,9564.292058055313,9533.054174645324,9556.090120094172
123,9434.890014324525,9438.66392593593,9429.325315012877,9455.520113455656
124,9393.894870895623,9392.105948147064,9389.05359245549,9415.586431230657
125,9457.377925892242,9458.70618084086,9446.777707133426,9475.922377410514
126,9434.471448595656,9423.062342927507,9423.244196625505,9451.1636433718
127,9359.665384858336,9331.681959954056,9352.567369311551,9376.179518735838
128,9257.568705506796,9208.048327068294,9261.325386484858,9286.759983466742
129,9273.54941448674,9225.670554761718,9277.961757017354,9302.545507002536
130,9265.39761757549,9202.254401941002,9269.841824608877,9291.055246262666
131,9248.618909288798,9182.21859250933,9252.128416970358,9274.41146875996
132,9300.295717500188,9243.456669413436,9304.633755068042,9325.368861245895
133,9294.320405005885,9234.748901167775,9297.904382805626,9319.432539043371
