timestep,MFN-A2C,A2C,Buy-and-Hold
310,9513.902653845818,9406.014686400298,9526.73022841125
311,9529.935814809753,9421.977649840252,9460.282181829152
312,9547.568023518395,9442.060226374704,9518.460636417603
313,9587.346745146247,9482.189399317684,9506.313532917671
314,9554.350715582395,9453.262131144653,9447.80244317565
315,9516.415391204846,9418.234223247247,9513.560737492156
316,9565.108955682066,9456.529489125283,9539.530618919893
317,9492.759928697224,9389.727768042136,9552.270415633173
318,9541.697629303242,9437.044090638434,9480.107424945132
319,9487.352173484494,9377.09959981144,9446.109190207284
320,9523.852850477768,9411.167340142478,9467.662097082955
321,9384.8052958836,9268.320896307943,9447.46010678063
322,9434.76264315872,9320.559304384537,9524.430990244056
323,9442.860395786363,9329.176254274123,9435.787399537689
324,9484.5323892612,9369.065448007084,9432.584572785936
325,9509.986548240277,9393.881298675038,9537.181839620422
326,9628.246302108117,9502.304206116614,9571.312028862943
327,9659.419898581991,9530.343337373655,9373.14551795683
328,9673.399123135436,9535.492604209554,9480.155462867717
329,9655.767226162365,9520.030851387644,9500.424672052915
330,9709.286990890949,9570.671542449854,9518.098046018777
331,9596.641973949923,9466.486269624507,9566.649576973648
332,9647.05262219561,9514.428485672017,9527.921520027145
333,9663.671790718918,9533.620713440943,9482.884969655564
334,9634.005006667912,9503.24193384334,9539.9649711558
335,9651.713152363383,9521.697326666896,9451.848798363078
336,9612.946349716283,9482.426981218612,9512.491257357247
337,9588.957469429784,9459.185046223674,9450.126526037444
338,9560.204546880794,9433.585844664023,9493.381684026404
339,9602.590506485298,9472.266700429844,9322.83820425588
340,9615.161167702585,9484.84126191694,9379.036699400476
341,9586.38927759544,9453.790750507957,9389.35776400963
342,9572.307677190824,9438.78149125247,9438.301202872084
343,9582.43265902831,9447.13217324792,9468.150011738984
344,9539.771052074064,9406.6984398904,9607.844637145166
345,9545.504685663784,9405.71998845856,9646.244420937366
346,9536.113961040088,9397.896091905175,9657.268017407505
347,9453.044006755488,9320.087000518144,9637.178513539777
348,9461.251194698072,9333.079046607832,9701.66427749508
349,9563.779483594864,9438.28068809458,9568.61560776018
350,9533.256895379698,9409.211937396716,9629.66522477878
351,9484.447254357843,9368.36546650206,9651.903155066366
352,9489.517389581642,9372.031160519531,9616.017942640294
353,9468.23252717904,9346.807443083011,9636.333784777466
354,9441.42811722806,9321.984880103868,9588.60123978188
355,9420.935878745604,9303.668231332143,9560.424002933963
356,9351.081336541112,9237.017069801315,9525.82040274558
357,9390.149400697372,9279.09158834288,9577.34087257752
358,9465.801473215331,9350.202714741545,9591.72991162375
359,9717.683606019857,9552.64294693604,9556.195286761493
360,9735.33793387626,9564.961005750038,9540.332992861164
361,9775.86282942396,9602.829003622895,9550.67939383291
362,9746.517883031793,9569.244014590708,9498.205302740038
363,9652.49723463066,9475.449961617824,9501.54697477724
364,9584.617523102876,9411.122533511018,9491.655564350467
365,9670.423693486317,9500.480283844568,9388.62934630038
366,9881.630761999377,9702.540042719542,9398.23674294761
367,9935.547685435917,9753.594870075556,9518.84165523622
368,9963.81944585593,9778.43676712166,9482.674903644414
369,10133.8100826812,9944.943345480257,9428.369832381368
370,10201.85603009368,10012.25310219511,9442.246277713972
371,10406.26785146183,10207.192153870436,9420.229629870517
372,10362.47090062343,10161.14392970282,9391.535046910489
