timestep,Proposed Method,A2C,A2C w/o TI,Buy and Hold
439,10804.880194651938,10631.359373047071,10945.334992431346,11066.209502217414
440,10769.974245700269,10597.740616732992,10910.869232390118,10994.14622758551
441,10757.876323991171,10582.401838096148,10903.597459230428,10948.590489039281
442,10813.57132477965,10633.404422172112,10968.377406814716,10918.50235521405
443,10853.625027009051,10669.29476201486,11005.137101333508,10911.770866530853
444,10899.74886455252,10712.631776080267,11049.104662734806,10939.007883730828
445,10887.074211516008,10698.239177452871,11036.921380787651,11063.261691520202
446,10898.619868346483,10710.151877266124,11051.69711877609,11039.365390123
447,11029.423734537146,10842.610397620932,11194.636771602463,11303.52744025373
448,10993.526375040508,10805.562011763812,11153.66566339537,10873.55602118779
449,11073.831744345072,10886.15986028175,11239.984187966464,11204.53660680606
450,11282.28125920036,11090.635197694428,11443.572524519785,10843.95027050538
451,11252.894279014174,11062.083087275618,11415.524863640612,10819.74117394068
452,11264.808977985587,11075.03418614124,11422.61168505202,10835.616246278632
453,11283.514571055484,11095.411610507132,11442.970055446205,11016.145198852391
454,11263.242545972123,11076.13617213484,11423.965682559732,11145.41777749453
455,11332.382659006918,11145.596843168843,11494.154023578898,11140.334991228265
456,11418.726714222485,11229.046092376338,11566.158193424906,11169.933861322424
457,11286.870402919822,11111.72060469448,11449.568597195374,11014.055689571582
458,11088.47802693199,10919.756684349764,11242.816450422151,10971.345120138178
459,11102.661259461647,10935.941850569949,11262.237670439066,10953.695087993054
460,11082.470139043937,10918.86098211322,11241.74481450108,11034.749064397362
461,10919.41625328005,10755.005971136296,11084.348810895426,11081.37989036343
462,11019.50050889487,10854.16670509346,11184.764323161417,11140.219849892625
463,11011.44163936972,10845.289675983684,11177.273949865605,11123.293943260724
464,11095.541760484612,10923.94330757525,11258.427619026086,11133.000057715592
465,11074.797814512562,10902.796415407574,11237.29023061003,11303.754897695622
466,11080.294968101274,10907.470434423434,11242.733535969137,11253.387015196497
467,10980.327809305309,10809.095866413509,11137.63575087908,11356.64165847208
468,10967.97077540906,10797.197795639431,11124.620055737418,11620.707224563555
469,10919.23307594677,10754.361841870896,11076.266454547418,11583.398459591986
470,10896.384505946742,10732.77494266264,11056.553509214202,11603.718855749774
471,10903.698270462346,10738.44516022512,11062.924514785529,11623.56520682556
472,10951.982318736287,10783.001104931169,11110.48260977112,11593.868248976709
473,11027.912981394536,10853.836599756916,11191.018946119948,11681.568240802138
474,11077.40402296353,10901.40115017098,11243.669337437548,11782.464509924352
