timestep,Proposed Method,A2C,DQN,Buy and Hold
993,13572.969694512189,13143.91844040639,12484.443366982096,15345.993155836764
994,13820.090847183224,13383.844259917278,13028.138144143635,15129.13948739523
995,13789.88293228873,13352.806584165895,13027.238731483589,15157.828738055548
996,13747.93164825999,13307.8795908327,12984.666545782788,14736.063866416136
997,13745.95003515852,13310.03531548546,12928.75307707835,14625.774869984143
998,13638.171616587442,13204.535991825793,12760.26315964011,14650.161807307872
999,13563.836546452503,13132.26415837518,12619.35522171513,14852.76316028762
1000,13533.730647002565,13097.437436600027,12537.808500304483,14876.075952915637
1001,13553.604115738424,13116.054593021188,12584.128237308942,14831.826732094312
1002,13636.977699569694,13190.866821962178,12677.21741790745,14604.855648577506
1003,13706.896855937106,13255.138433992272,12756.965314962014,14600.698280148865
1004,13601.468252562912,13146.990688740054,12726.68509765686,14766.258203261665
1005,14123.643907358366,13638.325744806518,13134.718512351634,14469.523245849256
1006,14394.84026648773,13887.92494255531,13410.238502816495,14369.695163057751
1007,14430.297855597182,13918.07923646478,13494.183657234224,14238.181632725642
1008,14191.430635131395,13678.507660015051,13232.904362889289,14409.62488243386
1009,14259.38013041943,13741.593100687038,13301.259703302512,14457.311467094334
1010,14233.816520899005,13715.475926108664,13317.59902769168,14479.955833360294
1011,14241.621774955993,13723.08455754503,13320.896873099246,14553.637753465722
1012,14241.85454268395,13722.206189563069,13241.898487032366,14891.144449510972
1013,14261.084201471649,13737.844884266113,13197.677379252731,14854.6142086041
1014,14245.849071984232,13723.998988482745,13170.994812269895,14785.293894143872
1015,14156.560240182298,13644.381538573378,13046.875905021745,14787.860842028987
1016,14093.365846917624,13583.68501536034,12913.912776427254,14646.335885689294
1017,14154.566065356212,13644.13531310065,13002.95460117322,14540.567365657413
1018,14159.888061236086,13650.474376565246,13034.134229873738,14491.583818140734
1019,14125.79505492808,13611.921763089756,13034.13422955454,14517.421653535586
1020,14059.858595238422,13546.46052162278,13029.52437670778,14637.85718422666
1021,13771.077458086913,13256.29562661114,12766.762797414687,14740.898112459005
1022,13730.085229880928,13217.608635532017,12707.280832895513,14599.978371887535
1023,13795.604475078531,13283.389852464152,12840.966547907545,15352.69909029222
1024,13553.078259998443,13071.973210105129,12697.615012050645,15764.442160223382
1025,13460.738331028226,12981.981521383892,12481.100661749304,15806.871964779682
1026,13510.932193405186,13030.13016138616,12559.319445062289,15466.84577353247
1027,13545.747564939882,13063.519588670362,12531.660332074767,15553.049319052134
1028,13529.889962350537,13048.111144671831,12516.492431066734,15521.512701988431
1029,13642.268580014916,13150.477579679691,12635.010245657042,15551.690498511647
1030,13822.03602970369,13328.927030605242,12799.329173283117,15552.244307871346
1031,13823.44725961057,13328.465976513462,12843.643236585309,15580.261602186336
1032,13832.987018708289,13336.02399782693,12820.445270658865,15566.763595266171
1033,13755.112834496531,13261.179124364737,12748.91820804893,15450.750875563755
1034,13792.07680891664,13296.198994567878,12747.790185223412,15371.479357610682
1035,13873.073442043871,13373.606301515783,12829.678911941655,15465.87223742936
1036,13794.147598587257,13302.224028933866,12768.559065009107,15474.262888828403
1037,13697.848259568857,13207.85389074367,12686.52198898392,15429.849346833384
1038,13783.252218886986,13287.464978296988,12822.113104882768,15331.08503770129
1039,13870.938952820234,13375.188132019886,12895.24923236104,14939.432797399832
1040,13881.043118698188,13383.42246917619,12969.720501343178,14898.135072560975
1041,13786.262584337434,13287.694344770312,12901.331546326075,14984.502173421335
1042,13701.3965067104,13206.504428920827,12886.941678815188,14619.749437602351
1043,13823.564206787694,13322.987822103283,12958.000918641104,14484.73488153484
1044,13778.70660461995,13277.790216637439,12954.5888879609,14554.03469172856
1045,13551.69479454697,13054.222688643662,12716.340165003749,14602.92675982136
1046,13513.20264209035,13021.061090442097,12678.214435355749,14582.423801632638
1047,13462.531474370107,12969.512376871624,12733.103617100054,14751.55828520007
1048,13466.56499242677,12973.49389502421,12732.361871424167,14992.225003341064
1049,13502.677872865252,13006.530039374344,12792.146575672808,15002.423399762214
1050,13512.381212843982,13013.578559034077,12765.147032060584,15009.48001888155
